frauenmord,opfer,täter,femizid,bluttat,eifersucht,gewaltprävention,rache,killer,helpline,beziehungsdrama,beziehungstat,einzelfall,ausländer,familientragödie,notrufnummer,type
210,176,109,41,39,15,16,31,11,5,8,12,2,3,1,2,absolut
84.94,51.2,31.93,17.47,15.66,7.23,6.63,4.22,3.61,3.01,2.41,2.41,1.2,1.2,0.6,0.6,relativ
