frauenmord,opfer,bluttat,femizid,täter,helpline,gewaltprävention,killer,einzelfall,rache,beziehungsdrama,type
26,27,22,13,11,4,2,2,1,1,2,absolut
71.88,50.0,46.88,37.5,28.12,12.5,6.25,6.25,3.12,3.12,3.12,relativ
