frauenmord,femizid,opfer,täter,rache,gewaltprävention,eifersucht,ausländer,bluttat,helpline,beziehungsdrama,beziehungstat,killer,einzelfall,familientragödie,notrufnummer,type
77,73,130,100,15,12,9,6,5,4,4,2,1,1,1,1,absolut
57.83,55.42,51.81,42.17,13.25,10.84,9.64,7.23,4.82,3.61,2.41,1.2,1.2,1.2,1.2,1.2,relativ
