femizid,frauenmord,opfer,täter,rache,gewaltprävention,eifersucht,beziehungstat,ausländer,helpline,einzelfall,bluttat,beziehungsdrama,notrufnummern,notrufnummer,type
101,86,165,124,25,10,7,8,4,5,3,2,4,1,1,absolut
66.67,59.14,51.61,45.16,12.9,9.68,4.3,4.3,4.3,4.3,2.15,2.15,2.15,1.08,1.08,relativ
